Component;Value
SWAP Rate;0.2
Manufacturing Survey´s Expectations Index;-0.22
Services Sector Survey: Expectations Index ;0.19
Consumers Survey: Expectations Index ;0.25
Stock Prices ;0.12
Terms of Trade Index;-0.08
Consumer Durable Goods Production Index;0.01
Exports Volume Index;0.36
