Date;LEI;LEI - perc;CEI;CEI - perc
ago/16;100.1;0.2;97.5;-0.9
set/16;101.4;1.3;97.5;0
out/16;101.5;0.1;97.1;-0.4
nov/16;103;1.5;97.3;0.2
dez/16;101.8;-1.2;98;0.7
jan/17;105.1;3.2;98;0
fev/17;106.2;1;98.4;0.4
