Data;PIB;Consumo das Fam¡lias;Consumo do Governo;Forma‡Æo Bruta de Capital Fixo;Exporta‡Æo;Importa‡Æo
jan/09;79,725;53,188;16,181;14,797;8,070;8,907
fev/09;79,816;51,663;15,979;13,825;8,068;7,439
mar/09;86,966;55,500;16,538;15,670;9,448;9,361
abr/09;85,358;54,711;16,147;15,676;10,151;8,991
mai/09;86,400;56,179;16,592;16,452;9,867;9,552
jun/09;86,623;56,453;16,381;16,475;11,405;10,006
jul/09;89,962;57,583;16,308;18,577;11,456;10,634
ago/09;90,419;58,027;16,826;18,703;10,809;10,086
set/09;89,758;58,226;16,658;19,328;10,657;11,745
out/09;91,584;58,359;17,445;20,069;10,875;12,188
nov/09;90,702;57,600;17,399;19,781;9,541;11,343
dez/09;90,835;63,227;17,404;19,120;10,548;11,994
jan/10;86,071;56,091;16,508;18,542;9,012;10,723
fev/10;87,133;54,962;16,676;17,735;9,059;11,130
mar/10;96,004;61,264;16,958;20,859;11,471;13,857
abr/10;93,602;57,843;17,021;19,659;10,555;13,041
mai/10;93,846;59,485;17,514;20,192;11,773;12,552
jun/10;92,942;59,050;17,110;19,894;11,309;13,266
jul/10;96,485;60,795;17,065;21,603;12,014;14,433
ago/10;96,777;61,373;17,535;22,015;12,596;14,588
set/10;95,536;60,847;17,600;21,628;12,107;15,543
out/10;96,578;61,766;18,037;21,613;11,237;14,521
nov/10;96,921;62,041;18,111;21,817;10,890;14,802
dez/10;95,161;67,606;17,559;20,137;13,043;14,914
jan/11;91,470;60,558;17,142;19,997;9,532;12,930
fev/11;93,295;60,013;17,220;20,260;10,075;12,815
mar/11;98,427;62,787;17,077;21,579;11,212;14,186
abr/11;96,267;61,258;17,658;20,266;11,166;14,093
mai/11;99,280;63,700;17,659;22,593;12,400;15,232
jun/11;98,020;63,105;18,028;21,745;12,282;15,064
jul/11;99,591;62,969;17,541;22,747;12,049;15,101
ago/11;100,913;64,314;17,714;23,951;13,813;16,633
set/11;98,510;62,977;17,868;22,306;12,478;15,483
out/11;99,009;62,861;18,409;22,467;11,833;15,596
nov/11;99,359;63,901;18,205;22,807;11,890;15,986
dez/11;97,709;69,523;17,754;21,766;12,803;15,644
jan/12;93,242;62,404;17,415;20,979;9,712;14,410
fev/12;93,471;60,704;17,387;20,376;10,426;13,170
mar/12;101,322;65,730;17,707;22,427;12,181;14,798
abr/12;97,123;62,116;17,878;21,151;11,484;14,492
mai/12;100,779;65,416;18,227;22,612;12,806;16,078
jun/12;98,569;64,720;18,368;21,562;10,966;14,678
jul/12;102,538;65,474;18,086;22,507;12,107;14,768
ago/12;104,513;67,656;18,056;23,413;13,110;15,325
set/12;99,395;64,597;18,012;22,059;11,574;14,354
out/12;102,866;67,072;18,727;23,567;12,621;16,323
nov/12;100,776;66,190;18,750;22,541;12,638;16,320
dez/12;99,770;72,410;18,494;21,334;12,293;15,344
jan/13;96,896;66,266;17,342;21,532;10,180;15,912
fev/13;95,558;62,008;17,396;21,384;9,483;14,464
mar/13;103,385;67,748;17,718;22,737;11,104;14,991
abr/13;104,351;66,206;18,446;23,802;12,343;17,024
mai/13;102,677;67,821;18,214;23,754;12,939;16,716
jun/13;101,333;66,079;18,461;23,301;12,226;14,755
jul/13;105,941;68,382;18,388;24,470;12,430;17,944
ago/13;105,871;69,256;18,636;24,526;12,999;16,295
set/13;103,090;66,962;18,473;23,979;12,540;15,534
out/13;106,111;68,918;19,194;25,689;13,495;18,744
nov/13;103,673;68,197;19,053;23,908;12,536;15,177
dez/13;101,367;73,876;19,066;20,861;13,041;15,539
jan/14;99,888;69,119;17,604;22,568;10,531;16,323
fev/14;101,141;66,318;17,890;23,055;10,121;14,971
mar/14;105,212;67,862;17,982;22,823;11,101;14,297
abr/14;104,191;67,610;18,592;22,510;12,224;15,714
mai/14;103,839;69,755;18,787;23,057;12,643;16,223
jun/14;99,110;66,049;18,382;20,807;12,521;14,714
jul/14;105,063;68,777;18,825;22,053;14,553;17,667
ago/14;104,094;69,344;18,452;22,306;12,673;15,640
set/14;103,728;68,727;18,796;23,176;12,450;16,941
out/14;105,818;70,625;19,152;23,952;11,930;16,164
nov/14;102,390;69,697;18,888;22,119;10,385;14,838
dez/14;101,979;76,104;18,827;19,693;12,537;15,908
jan/15;97,665;68,381;17,741;20,465;10,296;14,688
fev/15;97,147;63,737;17,721;19,802;9,551;13,258
mar/15;105,965;68,767;18,011;21,491;13,055;15,258
abr/15;100,839;65,465;18,264;19,758;11,988;13,697
mai/15;99,297;66,865;18,389;19,735;13,286;13,621
jun/15;97,912;65,123;18,457;18,586;15,113;14,185
jul/15;100,961;66,460;18,402;19,545;14,538;15,240
ago/15;99,761;66,029;18,471;19,195;12,491;12,232
set/15;97,989;64,559;18,439;18,783;13,244;12,873
out/15;99,488;66,170;18,838;19,272;13,343;13,603
nov/15;96,780;64,967;18,692;18,233;11,628;12,564
dez/15;96,041;70,753;18,397;15,966;14,158;11,558
jan/16;91,132;62,991;17,609;16,493;10,469;10,728
fev/16;93,285;61,284;17,497;16,570;11,757;10,669
mar/16;100,041;64,902;17,917;17,986;14,854;12,534
abr/16;96,474;62,168;18,153;17,197;13,643;11,048
mai/16;94,973;62,899;18,328;17,782;14,598;12,516
jun/16;95,921;62,855;18,379;18,101;13,778;13,637
jul/16;96,928;63,406;18,077;17,715;13,644;12,097
ago/16;97,908;64,412;18,540;17,893;13,905;12,961
set/16;95,299;62,453;18,243;17,067;12,794;12,531
out/16;95,203;63,176;18,779;17,457;11,097;12,563
nov/16;95,165;63,262;18,717;17,219;12,328;11,836
dez/16;94,745;69,601;18,350;15,886;12,720;12,907
jan/17;89,998;60,703;17,850;15,586;11,816;12,962
